"temp","day","mass.mean","dm"
"10",0,1943.0525,6.9754060973544
"10",2,1950.3475,7.01370746478519
"10",4,1960.48,7.05200883221598
"10",7,1972.6175,7.29720213973984
"10",14,2010.16,6.96798653025624
"10",20,2040.4325,6.816179166486
"10",29,NA,NA
"10",36,NA,NA
"10",43,2137.4925,5.72778114124926
"10",50,NA,NA
"10",57,NA,NA
"10",64,2202.7675,5.31373132114353
"10",71,NA,NA
"10",78,NA,NA
"10",85,2333.9975,5.09875928916846
"10",86,2529.0075,5.09875928916846
"10",88,2529.0075,5.09875928916846
"10",92,2529.0075,5.09875928916846
"15",0,1986.98,6.85460068990022
"15",2,1995.865,7.10315857479689
"15",4,1998.1675,7.35171645969356
"15",7,1998.71,7.40926808023486
"15",14,2006.7425,7.20983624782244
"15",20,2016.7375,7.12764578505366
"15",29,NA,NA
"15",36,NA,NA
"15",43,2072.7075,6.10931773318667
"15",50,NA,NA
"15",57,NA,NA
"15",64,2121.7525,5.80852581603634
"15",71,NA,NA
"15",78,NA,NA
"15",85,2280.1375,5.28351389895382
"15",86,2487.465,5.28351389895382
"15",88,2487.465,5.28351389895382
"15",92,2487.465,5.28351389895382
"20",0,1980.04,6.82153026257797
"20",2,1975.9075,6.90425418740049
"20",4,1971.5925,6.98697811222301
"20",7,1961.265,7.73929377536796
"20",14,1938.90025,6.89761782632754
"20",20,1928.94775,6.95062800591508
"20",29,NA,NA
"20",36,NA,NA
"20",43,1925.51525,6.06524834359597
"20",50,NA,NA
"20",57,NA,NA
"20",64,1950.33775,5.57241386575416
"20",71,NA,NA
"20",78,NA,NA
"20",85,2082.97775,5.10687579925984
"20",86,2279.83275,5.10687579925984
"20",88,2279.83275,5.10687579925984
"20",92,2279.83275,5.10687579925984
"25",0,1998.0625,6.83088974623806
"25",2,1985.7675,6.74591517129531
"25",4,1964.05,6.66094059635257
"25",7,1940.3125,6.95801964854639
"25",14,1882.3275,6.82929969381813
"25",20,1837.9275,6.80876433147261
"25",29,NA,NA
"25",36,NA,NA
"25",43,1758.975,6.08295365252757
"25",50,NA,NA
"25",57,NA,NA
"25",64,1752.31,5.84680490604747
"25",71,NA,NA
"25",78,NA,NA
"25",85,1844.3775,5.44802440902806
"25",86,2037.7775,5.44802440902806
"25",88,2037.7775,5.44802440902806
"25",92,2037.7775,5.44802440902806
