"temp","day","lip_Mean","cel_Mean","hem_Mean","lig_Mean","ndf_Mean","indf_Mean","pro.n_dry_Mean","n_dry_Mean","c_dry_Mean","vs_Mean","RFd_Mean","pro_Mean","tan_Mean","dm_used_Mean","dm_calc_Mean"
10,2,-0.000346083745738169,0.000636652571062826,0.00153280428292807,0.000167082736417651,0.000982488517954477,0.000167082736417652,0.00225259813386098,0.00225259813386098,0.000891639775989832,0.000803887259012913,0.00134650041829127,0.00790580010862584,-0.00425888886593083,0.000338104436725581,0.000338104436725581
15,2,-0.00110096158086174,0.000861252667852211,0.00222946423523422,-0.00135492276608752,0.00114015080109321,-0.00135492276608752,0.00292309186120983,0.00292309186120983,0.000286674906564329,0.000420902825067204,0.00235979523428235,0.00717910532091367,3.72120031210401e-06,3.74846150434507e-05,3.74846150434507e-05
20,2,-0.000129858780132119,0.0013354561003708,0.00502272535994845,-0.00216522700861867,0.00230259300894178,-0.00216522700861867,0.00369228672915015,0.00369228672915015,0.00125512255428538,0.00160578023027197,0.00483765911286519,0.0101982530810977,-0.000795585647846057,0.000704407946155966,0.000704407946155966
25,2,-8.21598557610397e-05,0.00226375798193916,0.00601106980055124,-0.00210527165816067,0.00310602362427468,-0.00210527165816066,0.00422710899753059,0.0042271089975306,0.00197645947589313,0.00242976647709028,0.00616276811849014,0.0124460257710128,0.00290025713009378,0.00132998967415733,0.00132998967415733
