"temp","day","delta_man_mean","delta_man_SD"
10,71,-116.80976872128,NA
10,78,-98.3045536786612,24.2423955271761
10,85,-75.2146735747694,15.3163508482224
10,86,-62.8947491358871,31.061091169929
10,88,-34.6981292405826,30.5007423716124
10,92,-61.2430425169973,5.13315469717985
15,14,-109.928236741518,16.2539642928584
15,29,-50.7591027548209,NA
15,43,-106.000372086457,7.94786261108527
15,50,-59.8376289494904,17.0284230549863
15,57,-45.6877836419677,3.12226126695345
15,64,-51.0390477723695,5.26157496734259
15,71,-70.9458119235248,9.53868596678763
15,78,-74.0400955594957,3.83540889698809
15,85,-81.0241990389268,3.55947287921248
15,86,-84.9859351068405,2.45552072665008
15,88,-90.8212166899821,2.04731254740463
15,92,-95.3425825478287,1.68680122625579
20,20,-113.155503148957,1.54232628735581
20,29,-34.1079952515849,6.64035085667126
20,36,-57.6197608293345,10.5517720345502
20,43,-70.188842653822,9.73665830325954
20,50,-85.1465817026926,4.68480515582833
20,57,-87.9235452686056,5.99154157625656
20,64,-89.8847942265584,0.922955961411319
20,71,-93.4236368073068,2.25081058897133
20,78,-92.5114954324793,0.593055848923822
20,85,-96.9908395283489,2.36869324732815
20,86,-97.9511802271715,1.44245687445394
20,88,-99.9695544641953,1.13060163528042
20,92,-99.5766422854366,1.0833151770279
25,2,-94.1445434640523,NA
25,4,-101.802043887147,NA
25,14,-67.0670548396217,11.4408035942876
25,20,-39.3905688952286,8.42930710179212
25,29,-74.6822397407442,6.55437221170209
25,36,-85.0096282933258,5.87149262708338
25,43,-89.7620134829701,5.27337646522335
25,50,-93.9574443177612,5.64103681197568
25,57,-95.2818638743669,4.41543356786569
25,64,-97.5145728305308,1.99920105390057
25,71,-99.232661942668,1.83653050169086
25,78,-100.452993680945,2.96862843495015
25,85,-101.755567688429,2.01767770000375
25,86,-99.9528090235164,1.09719766847535
25,88,-99.7726980994171,2.24541633215484
25,92,-96.2960950278093,1.84783966642907
