"temp","day","lip_Mean","lip_SD","cel_Mean","cel_SD","hem_Mean","hem_SD","lig_Mean","lig_SD","ndf_Mean","ndf_SD","pro.n_dry_Mean","pro.n_dry_SD","n_dry_Mean","n_dry_SD","c_dry_Mean","c_dry_SD","vs_Mean","vs_SD","vfa_Mean","vfa_SD","pro_Mean","pro_SD","tan_Mean","tan_SD","dm_used_Mean","dm_used_SD","dm_calc_Mean","dm_calc_SD","pH_Mean","pH_SD","RFd_Mean","RFd_SD"
10,0,0.00637280891522446,0.000185021686024533,0.0110224189730094,0.000320013759958021,0.0135239007542481,0.000392639250990517,0.00405921796814199,0.000117851227362629,0.0286055376953995,0.000830504238311168,0.0201208303761521,0.000494666193890279,0.00321933286018433,7.91465910224447e-05,0.0291572786581521,0.000820311385080688,0.0600023362108046,0.00167569727991605,0.00386205743250587,3.99347313432503e-05,0.0255390599843295,0.000107281375268042,0.000451901079173649,9.71444301108107e-07,7.01700787314922,0.193008413744574,7.01700787314922,0.193008413744574,NA,NA,0.0245463197272575,0.000712653010948538
10,2,0.00724042854573602,0.000163708294397756,0.0125230550667513,0.000283150088793345,0.0153650985575346,0.000347409557627463,0.0046118560968754,0.000104275470831349,0.0325000097211613,0.000734835117252156,0.0126670725222544,0.00123132033537985,0.0020267316035607,0.000197011253660777,0.0301845012526862,0.00104820381058053,0.0602843508016143,0.0011546910808808,0.00466174344506121,0.000240316176382363,0.0196080548201649,0.00251291801017601,0.00126854673125512,0.000141979875493087,7.03221730887088,0.159000574924202,7.03221730887088,0.159000574924202,6.96,0.0435889894354068,0.0278881536242859,0.000630559646420808
10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0578051349984688,0.00109651679082279,0.00498241537047659,0.000179983743611687,0.0161952238804338,0.00186579893435338,0.00175159611174966,0.000195501678508661,6.89735686222778,0.158952900640197,6.89735686222778,0.158952900640197,7.14666666666667,0.14742229591664,NA,NA
10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0579189035082219,0.00116255438430879,0.00552811010920897,0.000229921840664592,0.0154900952909329,0.000590094813398607,0.00186807855172802,0.000406267540041168,6.90360810956779,0.161824150122889,6.90360810956779,0.161824150122889,6.75,0.062449979983984,NA,NA
10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133785893444555,0.00062726225756851,0.00214057429511287,0.000100361961210961,0.0270807097164748,0.0019524929214295,0.0581849413475515,0.00132453426329754,0.00793829721132783,0.000403081251918664,0.0103051178059911,0.000848666081145553,0.00230334816787852,0.000186034474934526,6.91819435336114,0.168811750953687,6.91819435336114,0.168811750953687,6.75666666666667,0.0838649708360606,NA,NA
10,20,NA,NA,0.0120802308763048,0.000503078348052222,0.0129912818179666,0.000656783332625283,0.00450671128592433,0.000374535444261957,0.0295782239801957,0.000690965216455986,NA,NA,NA,NA,NA,NA,0.0577088472585918,0.00128900498402984,0.0077297028261315,0.000665733446818581,0.0142542807801955,0.00119564164420772,0.00223143795535806,0.000161822555419503,6.89205880175635,0.167977770514706,6.89205880175635,0.167977770514706,6.84333333333333,0.0814452781524709,0.0250715126942714,0.000935031318543687
10,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,43,0.00765635729153311,0.000373107646099547,0.0118720555404824,0.000301331571314972,0.0137277506040853,0.000442749858906406,0.00433870845240155,0.000343083496829114,0.0299385145969692,0.000357518091008661,0.0110335503671207,0.000965308548018791,0.00176536805873931,0.000154449367683007,0.0278596478805534,0.000642432266758215,0.0559021234133137,0.00119210992006691,0.00758081857673082,0.000571244239919551,0.0115158385774067,NA,0.00187406895912131,0.000107122460159832,6.79187252060467,0.165751065848163,6.79187252060467,0.165751065848163,6.74,0.0435889894354068,0.0255998061445677,0.000305421257513366
10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
