"temp","day","cel_Mean","hem_Mean","ndf_Mean","pro.n_dry_Mean","n_dry_Mean","c_dry_Mean","vs_Mean","RFd_Mean","pro_Mean","dm_used_Mean","dm_calc_Mean","T_inv"
10,0,-59.4601125852109,-69.0278451390054,-58.2533152300529,-29.841407518684,-29.841407518684,-53.4640927803487,-64.8448198753573,-65.486371454868,-23.8901604877124,-97.4492014142517,-97.4492014142517,0.00353169698039908
15,0,-59.4601125852109,-69.0278451390054,-58.2533152300529,-29.841407518684,-29.841407518684,-53.4640927803487,-64.8448198753573,-65.486371454868,-23.8901604877124,-97.4492014142517,-97.4492014142517,0.00347041471455839
20,0,-59.4601125852109,-69.0278451390054,-58.2533152300529,-29.841407518684,-29.841407518684,-53.4640927803487,-64.8448198753573,-65.486371454868,-23.8901604877124,-97.4492014142517,-97.4492014142517,0.00341122292341805
25,0,-59.4601125852109,-69.0278451390054,-58.2533152300529,-29.841407518684,-29.841407518684,-53.4640927803487,-64.8448198753573,-65.486371454868,-23.8901604877124,-97.4492014142517,-97.4492014142517,0.00335401643468053
10,7.38905609893065,55614237.7452529,8201375687.07016,50034673.7540726,738.146336784533,738.146336784541,3654507.07270781,488184922.331667,1318960869.39217,181.801200147384,109396115931750,109396115931750,0.00353169698039908
15,7.38905609893065,55614237.7452529,8201375687.07016,50034673.7540726,738.146336784533,738.146336784541,3654507.07270781,488184922.331667,1318960869.39217,181.801200147384,109396115931750,109396115931750,0.00347041471455839
20,7.38905609893065,55614237.7452529,8201375687.07016,50034673.7540726,738.146336784533,738.146336784541,3654507.07270781,488184922.331667,1318960869.39217,181.801200147384,109396115931750,109396115931750,0.00341122292341805
25,7.38905609893065,55614237.7452529,8201375687.07016,50034673.7540726,738.146336784533,738.146336784541,3654507.07270781,488184922.331667,1318960869.39217,181.801200147384,109396115931750,109396115931750,0.00335401643468053
